,Nucleophile CAS,Nucleophile SMILES,Electrophile CAS,Electrophile SMILES
a1,365996-05-0,CC(C)(C)OC(=O)N1CCc2nc(N)sc2C1,323580-68-3,CC(C)(C)OC(=O)n1ccc2ccc(Cl)cc21
a2,609789-17-5,CC(C)(C)OC(=O)N1CCCCC(N)C1,28730-78-1,COC(=O)c1ccc(Br)c(C(=O)OC)c1
a3,1033906-44-3,NS(=O)(=O)CCC(F)(F)F,10243-15-9,CC1=C(Br)C2=C(S1)C=CC=C2
a4,4795-29-3,NCC1CCCO1,28730-78-1,COC(=O)c1ccc(Br)c(C(=O)OC)c1
a5,1345471-30-8,CN(C)C(=O)C1=CC=C(C=C1)C1=CC=CC=C1N,85274-56-2,COC1=CC=C2C=C(C(Cl)=NC2=C1)C1=CC=CC=C1
a6,3435-28-7,Cc1cc(N)ncn1,82702-31-6,COC(=O)c1ccc(F)c(Br)c1
a7,73945-39-8,NS(=O)(=O)C1CCCC1,63837-11-6,CC1=NC2=CC(Br)=CC=C2S1
a8,824-75-9,NC(=O)c1ccc(F)cc1,141302-36-5,CN1CCN(c2ncc(Br)cn2)CC1
a9,349-49-5,NC1=NC(=CS1)C(F)(F)F,85274-56-2,COC1=CC=C2C=C(C(Cl)=NC2=C1)C1=CC=CC=C1
a10,55717-46-9,Nc1ccc(O)cn1,141302-36-5,CN1CCN(c2ncc(Br)cn2)CC1
a11,.7659-07-6,Nc1nnc(-c2ccc(F)cc2)o1,87698-82-6,BrC1=CC=CC=C1N1CCOCC1
a12,55717-46-9,Nc1ccc(O)cn1,82702-31-6,COC(=O)c1ccc(F)c(Br)c1
b1,57688-34-3,Nc1ccc(-c2ccc(C(F)(F)F)cc2)cc1,286371-49-1,COC1=CC2=C(C=C1OCC1=CC=CC=C1)N=CC=C2Cl
b2,73945-39-8,NS(=O)(=O)C1CCCC1,141302-36-5,CN1CCN(c2ncc(Br)cn2)CC1
b3,56741-34-5,COC(=O)c1cc(N)ccc1F,28730-78-1,COC(=O)c1ccc(Br)c(C(=O)OC)c1
b4,7466-54-8,COc1ccccc1C(=O)NN,323580-68-3,CC(C)(C)OC(=O)n1ccc2ccc(Cl)cc21
b5,365996-05-0,CC(C)(C)OC(=O)N1CCc2nc(N)sc2C1,28730-78-1,COC(=O)c1ccc(Br)c(C(=O)OC)c1
b6,1033906-44-3,NS(=O)(=O)CCC(F)(F)F,182344-70-3,CC(C)(C)OC(=O)n1ccc2cc(Br)ccc21
b7,55717-46-9,Nc1ccc(O)cn1,2056110-59-7,Cc1cc(C=O)c(OCc2ccccc2)cc1Br
b8,23153-09-5,CSc1ccc(N)c([N+](=O)[O-])c1,82702-31-6,COC(=O)c1ccc(F)c(Br)c1
b9,4795-29-3,NCC1CCCO1,54788-38-4,COc1ccc(C)c(Cl)c1
b10,2450-71-7,C#CCN,54788-38-4,COc1ccc(C)c(Cl)c1
b11,609789-17-5,CC(C)(C)OC(=O)N1CCCCC(N)C1,10243-15-9,CC1=C(Br)C2=C(S1)C=CC=C2
b12,885270-81-5,Cc1ccc(NC(=O)OC(C)(C)C)c(N)c1,873-76-7,OCc1ccc(Cl)cc1
c1,885270-81-5,Cc1ccc(NC(=O)OC(C)(C)C)c(N)c1,85274-56-2,COC1=CC=C2C=C(C(Cl)=NC2=C1)C1=CC=CC=C1
c2,314285-39-7,CC1CCN(CC1)S(=O)(=O)C1=CC=C(N)C=C1,28730-78-1,COC(=O)c1ccc(Br)c(C(=O)OC)c1
c3,609789-17-5,CC(C)(C)OC(=O)N1CCCCC(N)C1,82702-31-6,COC(=O)c1ccc(F)c(Br)c1
c4,2450-71-7,C#CCN,182344-70-3,CC(C)(C)OC(=O)n1ccc2cc(Br)ccc21
c5,4572-03-6,CN1CCN(CCCN)CC1,87698-82-6,BrC1=CC=CC=C1N1CCOCC1
c6,1345471-30-8,CN(C)C(=O)C1=CC=C(C=C1)C1=CC=CC=C1N,182344-70-3,CC(C)(C)OC(=O)n1ccc2cc(Br)ccc21
c7,109-73-9,CCCCN,873-76-7,OCc1ccc(Cl)cc1
c8,7466-54-8,COc1ccccc1C(=O)NN,873-76-7,OCc1ccc(Cl)cc1
c9,349-49-5,NC1=NC(=CS1)C(F)(F)F,2056110-59-7,Cc1cc(C=O)c(OCc2ccccc2)cc1Br
c10,365996-05-0,CC(C)(C)OC(=O)N1CCc2nc(N)sc2C1,873-76-7,OCc1ccc(Cl)cc1
c11,1345471-30-8,CN(C)C(=O)C1=CC=C(C=C1)C1=CC=CC=C1N,54788-38-4,COc1ccc(C)c(Cl)c1
c12,23153-09-5,CSc1ccc(N)c([N+](=O)[O-])c1,323580-68-3,CC(C)(C)OC(=O)n1ccc2ccc(Cl)cc21
d1,4795-29-3,NCC1CCCO1,182344-70-3,CC(C)(C)OC(=O)n1ccc2cc(Br)ccc21
d2,73945-39-8,NS(=O)(=O)C1CCCC1,286371-49-1,COC1=CC2=C(C=C1OCC1=CC=CC=C1)N=CC=C2Cl
d3,349-49-5,NC1=NC(=CS1)C(F)(F)F,82702-31-6,COC(=O)c1ccc(F)c(Br)c1
d4,57688-34-3,Nc1ccc(-c2ccc(C(F)(F)F)cc2)cc1,10243-15-9,CC1=C(Br)C2=C(S1)C=CC=C2
d5,1345471-30-8,CN(C)C(=O)C1=CC=C(C=C1)C1=CC=CC=C1N,873-76-7,OCc1ccc(Cl)cc1
d6,55717-46-9,Nc1ccc(O)cn1,54788-38-4,COc1ccc(C)c(Cl)c1
d7,870-46-2,CC(C)(C)OC(=O)NN,28730-78-1,COC(=O)c1ccc(Br)c(C(=O)OC)c1
d8,1033906-44-3,NS(=O)(=O)CCC(F)(F)F,85274-56-2,COC1=CC=C2C=C(C(Cl)=NC2=C1)C1=CC=CC=C1
d9,56741-34-5,COC(=O)c1cc(N)ccc1F,182344-70-3,CC(C)(C)OC(=O)n1ccc2cc(Br)ccc21
d10,3435-28-7,Cc1cc(N)ncn1,10243-15-9,CC1=C(Br)C2=C(S1)C=CC=C2
d11,100-01-6,Nc1ccc([N+](=O)[O-])cc1,141302-36-5,CN1CCN(c2ncc(Br)cn2)CC1
d12,124-68-5,CC(C)(N)CO,82702-31-6,COC(=O)c1ccc(F)c(Br)c1
e1,55717-46-9,Nc1ccc(O)cn1,28730-78-1,COC(=O)c1ccc(Br)c(C(=O)OC)c1
e2,314285-39-7,CC1CCN(CC1)S(=O)(=O)C1=CC=C(N)C=C1,54788-38-4,COc1ccc(C)c(Cl)c1
e3,109-73-9,CCCCN,54788-38-4,COc1ccc(C)c(Cl)c1
e4,1033906-44-3,NS(=O)(=O)CCC(F)(F)F,54788-38-4,COc1ccc(C)c(Cl)c1
e5,2450-71-7,C#CCN,286371-49-1,COC1=CC2=C(C=C1OCC1=CC=CC=C1)N=CC=C2Cl
e6,4572-03-6,CN1CCN(CCCN)CC1,182344-70-3,CC(C)(C)OC(=O)n1ccc2cc(Br)ccc21
e7,618-36-0,CC(N)C1=CC=CC=C1,85274-56-2,COC1=CC=C2C=C(C(Cl)=NC2=C1)C1=CC=CC=C1
e8,1033906-44-3,NS(=O)(=O)CCC(F)(F)F,87698-82-6,BrC1=CC=CC=C1N1CCOCC1
e9,109-73-9,CCCCN,10243-15-9,CC1=C(Br)C2=C(S1)C=CC=C2
e10,349-49-5,NC1=NC(=CS1)C(F)(F)F,87698-82-6,BrC1=CC=CC=C1N1CCOCC1
e11,38681-77-5,Nc1ccc(C(=O)NC2CC2)cc1,873-76-7,OCc1ccc(Cl)cc1
e12,4795-29-3,NCC1CCCO1,323580-68-3,CC(C)(C)OC(=O)n1ccc2ccc(Cl)cc21
f1,365996-05-0,CC(C)(C)OC(=O)N1CCc2nc(N)sc2C1,2056110-59-7,Cc1cc(C=O)c(OCc2ccccc2)cc1Br
f2,38681-77-5,Nc1ccc(C(=O)NC2CC2)cc1,63837-11-6,CC1=NC2=CC(Br)=CC=C2S1
f3,100-01-6,Nc1ccc([N+](=O)[O-])cc1,182344-70-3,CC(C)(C)OC(=O)n1ccc2cc(Br)ccc21
f4,57688-34-3,Nc1ccc(-c2ccc(C(F)(F)F)cc2)cc1,182344-70-3,CC(C)(C)OC(=O)n1ccc2cc(Br)ccc21
f5,618-36-0,CC(N)C1=CC=CC=C1,141302-36-5,CN1CCN(c2ncc(Br)cn2)CC1
f6,38681-77-5,Nc1ccc(C(=O)NC2CC2)cc1,182344-70-3,CC(C)(C)OC(=O)n1ccc2cc(Br)ccc21
f7,23153-09-5,CSc1ccc(N)c([N+](=O)[O-])c1,85274-56-2,COC1=CC=C2C=C(C(Cl)=NC2=C1)C1=CC=CC=C1
f8,55717-46-9,Nc1ccc(O)cn1,52605-96-6,COc1cccnc1Cl
f9,7466-54-8,COc1ccccc1C(=O)NN,54788-38-4,COc1ccc(C)c(Cl)c1
f10,7466-54-8,COc1ccccc1C(=O)NN,182344-70-3,CC(C)(C)OC(=O)n1ccc2cc(Br)ccc21
f11,38681-77-5,Nc1ccc(C(=O)NC2CC2)cc1,323580-68-3,CC(C)(C)OC(=O)n1ccc2ccc(Cl)cc21
f12,.7659-07-6,Nc1nnc(-c2ccc(F)cc2)o1,2056110-59-7,Cc1cc(C=O)c(OCc2ccccc2)cc1Br
g1,10122-95-9,Nc1cc2ccc1CCc1ccc(cc1)CC2,82702-31-6,COC(=O)c1ccc(F)c(Br)c1
g2,55717-46-9,Nc1ccc(O)cn1,323580-68-3,CC(C)(C)OC(=O)n1ccc2ccc(Cl)cc21
g3,4572-03-6,CN1CCN(CCCN)CC1,52605-96-6,COc1cccnc1Cl
g4,23153-09-5,CSc1ccc(N)c([N+](=O)[O-])c1,286371-49-1,COC1=CC2=C(C=C1OCC1=CC=CC=C1)N=CC=C2Cl
g5,349-49-5,NC1=NC(=CS1)C(F)(F)F,52605-96-6,COc1cccnc1Cl
g6,100-01-6,Nc1ccc([N+](=O)[O-])cc1,85274-56-2,COC1=CC=C2C=C(C(Cl)=NC2=C1)C1=CC=CC=C1
g7,870-46-2,CC(C)(C)OC(=O)NN,182344-70-3,CC(C)(C)OC(=O)n1ccc2cc(Br)ccc21
g8,2450-71-7,C#CCN,323580-68-3,CC(C)(C)OC(=O)n1ccc2ccc(Cl)cc21
g9,314285-39-7,CC1CCN(CC1)S(=O)(=O)C1=CC=C(N)C=C1,87698-82-6,BrC1=CC=CC=C1N1CCOCC1
g10,55717-46-9,Nc1ccc(O)cn1,873-76-7,OCc1ccc(Cl)cc1
g11,870-46-2,CC(C)(C)OC(=O)NN,286371-49-1,COC1=CC2=C(C=C1OCC1=CC=CC=C1)N=CC=C2Cl
g12,10122-95-9,Nc1cc2ccc1CCc1ccc(cc1)CC2,54788-38-4,COc1ccc(C)c(Cl)c1
h1,38681-77-5,Nc1ccc(C(=O)NC2CC2)cc1,52605-96-6,COc1cccnc1Cl
h2,57688-34-3,Nc1ccc(-c2ccc(C(F)(F)F)cc2)cc1,28730-78-1,COC(=O)c1ccc(Br)c(C(=O)OC)c1
h3,73945-39-8,NS(=O)(=O)C1CCCC1,182344-70-3,CC(C)(C)OC(=O)n1ccc2cc(Br)ccc21
h4,.7659-07-6,Nc1nnc(-c2ccc(F)cc2)o1,82702-31-6,COC(=O)c1ccc(F)c(Br)c1
h5,870-46-2,CC(C)(C)OC(=O)NN,323580-68-3,CC(C)(C)OC(=O)n1ccc2ccc(Cl)cc21
h6,56741-34-5,COC(=O)c1cc(N)ccc1F,63837-11-6,CC1=NC2=CC(Br)=CC=C2S1
h7,349-49-5,NC1=NC(=CS1)C(F)(F)F,28730-78-1,COC(=O)c1ccc(Br)c(C(=O)OC)c1
h8,4572-03-6,CN1CCN(CCCN)CC1,323580-68-3,CC(C)(C)OC(=O)n1ccc2ccc(Cl)cc21
h9,4795-29-3,NCC1CCCO1,87698-82-6,BrC1=CC=CC=C1N1CCOCC1
h10,56741-34-5,COC(=O)c1cc(N)ccc1F,323580-68-3,CC(C)(C)OC(=O)n1ccc2ccc(Cl)cc21
h11,870-46-2,CC(C)(C)OC(=O)NN,87698-82-6,BrC1=CC=CC=C1N1CCOCC1
h12,100-01-6,Nc1ccc([N+](=O)[O-])cc1,873-76-7,OCc1ccc(Cl)cc1
